Blinding,Animal,Age,Cell,Particle,Volume
1,EA60,24mo,1,1,2.542372272
1,EA60,24mo,2,1,0.290332636
1,EA60,24mo,3,1,4.489098964
1,EA60,24mo,5,1,0.28177246
1,EA60,24mo,8,2,1.153483716
1,EA60,24mo,9,6,0.294612724
2,7348,6mo,2,2,0.457969416
2,7348,6mo,3,1,0.21257770399999998
2,7348,6mo,9,1,0.457969416
3,OT67,6mo,1,2,0.510757168
3,OT67,6mo,2,1,0.957313016
4,EA63,24mo,1,1,3.957654704
4,EA63,24mo,2,1,1.078582176
4,EA63,24mo,2,2,1.70133498
4,EA63,24mo,3,1,5.494919643999999
4,EA63,24mo,4,1,3.5489062999999996
5,DY34,24mo,1,1,3.2457334
5,DY34,24mo,4,1,0.903811916
5,DY34,24mo,12,1,0.899531828
5,DY34,24mo,14,3,0.208297616
5,DY34,24mo,16,1,1.226245212
6,EA62,24mo,1,1,4.873593536
6,EA62,24mo,2,1,0.21257770399999998
6,EA62,24mo,2,2,0.965159844
6,EA62,24mo,3,1,2.338354744
6,EA62,24mo,4,1,4.791558515999999
6,EA62,24mo,5,1,5.821633028
6,EA62,24mo,6,1,4.088197388
6,EA62,24mo,7,1,1.570078948
6,EA62,24mo,8,1,0.24539171199999998
6,EA62,24mo,8,2,0.343120388
6,EA62,24mo,8,4,0.55641144
6,EA62,24mo,10,1,0.6705471199999999
6,EA62,24mo,11,1,5.315155948
6,EA62,24mo,15,1,0.359527392
6,EA62,24mo,15,2,0.572105096
6,EA62,24mo,16,1,0.47437642
6,EA62,24mo,17,1,0.294612724
6,EA62,24mo,20,1,0.654140116
6,EA62,24mo,22,1,7.816867384
6,EA62,24mo,23,1,3.875619684
8,OD10,6mo,1,1,1.390315252
8,OD10,6mo,3,1,0.27820572
8,OD10,6mo,3,2,0.24539171199999998
8,OD10,6mo,3,4,0.470096332
8,OD10,6mo,4,1,3.483278284
